"types.resourceTypeGeneral: Descending","publication_year per year",Count
"__missing__","-12054791780000",146
"__missing__","-12023169380000",120
"__missing__","-11991633380000",167
"__missing__","-11960097380000",170
"__missing__","-11928561380000",171
"__missing__","-11896938980000",264
"__missing__","-11865402980000",174
"__missing__","-11833866980000",244
"__missing__","-11802330980000",248
"__missing__","-11770708580000",221
"__missing__","-11739172580000",189
"__missing__","-11707636580000",214
"__missing__","-11676100580000",239
"__missing__","-11644478180000",180
"__missing__","-11612942180000",202
"__missing__","-11581406180000",159
"__missing__","-11549870180000",173
"__missing__","-11518247780000",127
"__missing__","-11486711780000",170
"__missing__","-11455175780000",217
"__missing__","-11423639780000",222
"__missing__","-11392017380000",178
"__missing__","-11360481380000",264
"__missing__","-11328945380000",285
"__missing__","-11297409380000",212
"__missing__","-11265786980000",221
"__missing__","-11234250980000",244
"__missing__","-11202714980000",195
"__missing__","-11171178980000",186
"__missing__","-11139556580000",228
"__missing__","-11108020580000",186
"__missing__","-11076484580000",230
"__missing__","-11044948580000",246
"__missing__","-11013326180000",228
"__missing__","-10981790180000",207
"__missing__","-10950254180000",168
"__missing__","-10918718180000",205
"__missing__","-10887095780000",161
"__missing__","-10855559780000",131
"__missing__","-10824023780000",87
"__missing__","-10792487780000",145
"__missing__","-10760865380000",223
"__missing__","-10729329380000",220
"__missing__","-10697793380000",269
"__missing__","-10666257380000",137
"__missing__","-10634634980000",116
"__missing__","-10603098980000",85
"__missing__","-10571562980000",124
"__missing__","-10540026980000",133
"__missing__","-10508404580000",118
"__missing__","-10476868580000",83
"__missing__","-10445332580000",109
"__missing__","-10413796580000",82
"__missing__","-10382174180000",94
"__missing__","-10350638180000",77
"__missing__","-10319102180000",120
"__missing__","-10287566180000",109
"__missing__","-10255943780000",108
"__missing__","-10224407780000",165
"__missing__","-10192871780000",164
"__missing__","-10161335780000",193
"__missing__","-10129713380000",132
"__missing__","-10098177380000",227
"__missing__","-10066641380000",186
"__missing__","-10035105380000",209
"__missing__","-10003482980000",177
"__missing__","-9971946980000",196
"__missing__","-9940410980000",179
"__missing__","-9908874980000",175
"__missing__","-9877252580000",162
"__missing__","-9845716580000",184
"__missing__","-9814180580000",235
"__missing__","-9782644580000",211
"__missing__","-9751022180000",199
"__missing__","-9719486180000",228
"__missing__","-9687950180000",250
"__missing__","-9656414180000",249
"__missing__","-9624791780000",248
"__missing__","-9593255780000",238
"__missing__","-9561719780000",185
"__missing__","-9530183780000",210
"__missing__","-9498561380000",189
"__missing__","-9467025380000",243
"__missing__","-9435489380000",232
"__missing__","-9403953380000",211
"__missing__","-9372330980000",220
"__missing__","-9340794980000",205
"__missing__","-9309258980000",217
"__missing__","-9277722980000",240
"__missing__","-9246100580000",275
"__missing__","-9214564580000",255
"__missing__","-9183028580000",247
"__missing__","-9151492580000",270
"__missing__","-9119870180000",243
"__missing__","-9088334180000",223
"__missing__","-9056798180000",214
"__missing__","-9025262180000",225
"__missing__","-8993639780000",213
"__missing__","-8962103780000",265
"__missing__","-8930567780000",206
"__missing__","-8899031780000",238
"__missing__","-8867409380000",241
"__missing__","-8835873380000",260
"__missing__","-8804337380000",243
"__missing__","-8772801380000",271
"__missing__","-8741178980000",287
"__missing__","-8709642980000",310
"__missing__","-8678106980000",334
"__missing__","-8646570980000",242
"__missing__","-8614948580000",307
"__missing__","-8583412580000",269
"__missing__","-8551876580000",289
"__missing__","-8520340580000",513
"__missing__","-8488804580000",338
"__missing__","-8457268580000",347
"__missing__","-8425732580000",365
"__missing__","-8394196580000",352
"__missing__","-8362574180000",328
"__missing__","-8331038180000",306
"__missing__","-8299502180000",334
"__missing__","-8267966180000",355
"__missing__","-8236343780000",428
"__missing__","-8204807780000",420
"__missing__","-8173271780000",355
"__missing__","-8141735780000",342
"__missing__","-8110113380000",346
"__missing__","-8078577380000",400
"__missing__","-8047041380000",407
"__missing__","-8015505380000",418
"__missing__","-7983882980000",379
"__missing__","-7952346980000",337
"__missing__","-7920810980000",377
"__missing__","-7889274980000",412
"__missing__","-7857652580000",415
"__missing__","-7826116580000",372
"__missing__","-7794580580000",365
"__missing__","-7763044580000",387
"__missing__","-7731422180000",334
"__missing__","-7699886180000",356
"__missing__","-7668350180000",330
"__missing__","-7636814180000",285
"__missing__","-7605191780000",285
"__missing__","-7573655780000",440
"__missing__","-7542119780000",353
"__missing__","-7510583780000",397
"__missing__","-7478961380000",432
"__missing__","-7447425380000",410
"__missing__","-7415889380000",497
"__missing__","-7384353380000",481
"__missing__","-7352730980000",403
"__missing__","-7321194980000",466
"__missing__","-7289658980000",418
"__missing__","-7258122980000",471
"__missing__","-7226500580000",387
"__missing__","-7194964580000",335
"__missing__","-7163428580000",277
"__missing__","-7131892580000",298
"__missing__","-7100270180000",361
"__missing__","-7068734180000",405
"__missing__","-7037198180000",384
"__missing__","-7005662180000",395
"__missing__","-6974039780000",412
"__missing__","-6942503780000",538
"__missing__","-6910967780000",406
"__missing__","-6879431780000",476
"__missing__","-6847809380000",472
"__missing__","-6816273380000",361
"__missing__","-6784737380000",372
"__missing__","-6753201380000",353
"__missing__","-6721578980000",470
"__missing__","-6690042980000",497
"__missing__","-6658506980000",323
"__missing__","-6626970980000",377
"__missing__","-6595348580000",346
"__missing__","-6563812580000",433
"__missing__","-6532276580000",506
"__missing__","-6500740580000",437
"__missing__","-6469118180000",405
"__missing__","-6437582180000",422
"__missing__","-6406046180000",380
"__missing__","-6374510180000",409
"__missing__","-6342887780000",399
"__missing__","-6311351780000",467
"__missing__","-6279815780000",400
"__missing__","-6248279780000",401
"__missing__","-6216657380000",346
"__missing__","-6185121380000",349
"__missing__","-6153585380000",354
"__missing__","-6122049380000",323
"__missing__","-6090426980000",346
"__missing__","-6058890980000",337
"__missing__","-6027354980000",341
"__missing__","-5995818980000",385
"__missing__","-5964196580000",324
"__missing__","-5932660580000",390
"__missing__","-5901124580000",346
"__missing__","-5869588580000",395
"__missing__","-5837966180000",317
"__missing__","-5806430180000",323
"__missing__","-5774894180000",304
"__missing__","-5743358180000",327
"__missing__","-5711735780000",390
"__missing__","-5680199780000",350
"__missing__","-5648663780000",312
"__missing__","-5617127780000",352
"__missing__","-5585505380000",291
"__missing__","-5553969380000",296
"__missing__","-5522433380000",334
"__missing__","-5490897380000",388
"__missing__","-5459274980000",410
"__missing__","-5427738980000",488
"__missing__","-5396202980000",515
"__missing__","-5364666980000",626
"__missing__","-5333130980000",125
"__missing__","-5301594980000",81
"__missing__","-5270058980000",60
"__missing__","-5238522980000",61
"__missing__","-5206900580000",54
"__missing__","-5175364580000",43
"__missing__","-5143828580000",42
"__missing__","-5112292580000",30
"__missing__","-5080670180000",25
"__missing__","-5049134180000",31
"__missing__","-5017598180000",57
"__missing__","-4986062180000",20
"__missing__","-4954439780000",26
"__missing__","-4922903780000",24
"__missing__","-4891367780000",25
"__missing__","-4859831780000",27
"__missing__","-4828209380000",28
"__missing__","-4796673380000",52
"__missing__","-4765137380000",38
"__missing__","-4733601380000",86
"__missing__","-4701978980000",24
"__missing__","-4670442980000",19
"__missing__","-4638906980000",29
"__missing__","-4607370980000",33
"__missing__","-4575748580000",35
"__missing__","-4544212580000",30
"__missing__","-4512676580000",18
"__missing__","-4481140580000",36
"__missing__","-4449518180000",40
"__missing__","-4417982180000",51
"__missing__","-4386446180000",38
"__missing__","-4354910180000",27
"__missing__","-4323287780000",38
"__missing__","-4291751780000",53
"__missing__","-4260215780000",44
"__missing__","-4228679780000",57
"__missing__","-4197057380000",37
"__missing__","-4165521380000",33
"__missing__","-4133985380000",29
"__missing__","-4102449380000",33
"__missing__","-4070826980000",38
"__missing__","-4039290980000",43
"__missing__","-4007754980000",41
"__missing__","-3976218980000",61
"__missing__","-3944596580000",49
"__missing__","-3913060580000",35
"__missing__","-3881524580000",28
"__missing__","-3849988580000",29
"__missing__","-3818366180000",41
"__missing__","-3786830180000",89
"__missing__","-3755294180000",53
"__missing__","-3723758180000",46
"__missing__","-3692135780000",61
"__missing__","-3660599780000",65
"__missing__","-3629063780000",61
"__missing__","-3597527780000",44
"__missing__","-3565905380000",97
"__missing__","-3534369380000",50
"__missing__","-3502833380000",80
"__missing__","-3471297380000",91
"__missing__","-3439674980000",42
"__missing__","-3408138980000",50
"__missing__","-3376602980000",87
"__missing__","-3345066980000",73
"__missing__","-3313444580000",50
"__missing__","-3281908580000",190
"__missing__","-3250372580000",66
"__missing__","-3218836580000",57
"__missing__","-3187214180000",67
"__missing__","-3155678180000",73
"__missing__","-3124142180000",156
"__missing__","-3092606180000",46
"__missing__","-3060983780000",65
"__missing__","-3029447780000",121
"__missing__","-2997911780000",56
"__missing__","-2966375780000",180
"__missing__","-2934753380000",153
"__missing__","-2903217380000",135
"__missing__","-2871681380000",303
"__missing__","-2840145380000",193
"__missing__","-2808522980000",228
"__missing__","-2776986980000",117
"__missing__","-2745450980000",139
"__missing__","-2713914980000",170
"__missing__","-2682292580000",269
"__missing__","-2650756580000",306
"__missing__","-2619220580000",119
"__missing__","-2587684580000",105
"__missing__","-2556062180000",297
"__missing__","-2524526180000",222
"__missing__","-2492989200000",249
"__missing__","-2461453200000",273
"__missing__","-2429830800000",366
"__missing__","-2398294800000",352
"__missing__","-2366758800000",398
"__missing__","-2335222800000",307
"__missing__","-2303600400000",512
"__missing__","-2272064400000",656
"__missing__","-2240528400000",853
"__missing__","-2208992400000",2207
"__missing__","-2177456400000",721
"__missing__","-2145920400000",546
"__missing__","-2114384400000",418
"__missing__","-2082848400000",1051
"__missing__","-2051226000000",708
"__missing__","-2019690000000",956
"__missing__","-1988154000000",974
"__missing__","-1956618000000",1056
"__missing__","-1924995600000",1245
"__missing__","-1893459600000",1429
"__missing__","-1861923600000",1780
"__missing__","-1830387600000",1606
"__missing__","-1798765200000",1333
"__missing__","-1767229200000",1488
"__missing__","-1735693200000",1257
"__missing__","-1704157200000",923
"__missing__","-1672534800000",643
"__missing__","-1640998800000",661
"__missing__","-1609462800000",715
"__missing__","-1577926800000",837
"__missing__","-1546304400000",733
"__missing__","-1514768400000",991
"__missing__","-1483232400000",747
"__missing__","-1451696400000",675
"__missing__","-1420074000000",946
"__missing__","-1388538000000",812
"__missing__","-1357002000000",705
"__missing__","-1325466000000",825
"__missing__","-1293843600000",799
"__missing__","-1262307600000",571
"__missing__","-1230771600000",731
"__missing__","-1199235600000",1026
"__missing__","-1167613200000",817
"__missing__","-1136077200000",663
"__missing__","-1104541200000",617
"__missing__","-1073005200000",808
"__missing__","-1041382800000",703
"__missing__","-1009846800000",492
"__missing__","-978310800000",601
"__missing__","-946774800000",863
"__missing__","-915152400000",604
"__missing__","-883620000000",301
"__missing__","-852080400000",325
"__missing__","-820544400000",435
"__missing__","-788922000000",511
"__missing__","-757386000000",801
"__missing__","-725850000000",467
"__missing__","-694314000000",538
"__missing__","-662691600000",944
"__missing__","-631155600000",1373
"__missing__","-599619600000",1008
"__missing__","-568083600000",1208
"__missing__","-536461200000",839
"__missing__","-504925200000",1238
"__missing__","-473389200000",1600
"__missing__","-441853200000",1550
"__missing__","-410230800000",1331
"__missing__","-378694800000",1522
"__missing__","-347158800000",2207
"__missing__","-315622800000",2864
"__missing__","-284000400000",3729
"__missing__","-252464400000",1879
"__missing__","-220928400000",1923
"__missing__","-189392400000",1926
"__missing__","-157770000000",8036
"__missing__","-126234000000",5123
"__missing__","-94698000000",6143
"__missing__","-63162000000",3356
"__missing__","-31539600000",5515
"__missing__","-3600000",14536
"__missing__",31532400000,8553
"__missing__",63068400000,6835
"__missing__",94690800000,6010
"__missing__",126226800000,5657
"__missing__",157762800000,17052
"__missing__",189298800000,5412
"__missing__",220921200000,2789
"__missing__",252457200000,3340
"__missing__",283993200000,2982
"__missing__",315529200000,5275
"__missing__",347151600000,3352
"__missing__",378687600000,3410
"__missing__",410223600000,2672
"__missing__",441759600000,3632
"__missing__",473382000000,5779
"__missing__",504918000000,4095
"__missing__",536454000000,4985
"__missing__",567990000000,3379
"__missing__",599612400000,3165
"__missing__",631148400000,5292
"__missing__",662684400000,5032
"__missing__",694220400000,6094
"__missing__",725842800000,4398
"__missing__",757378800000,5048
"__missing__",788914800000,5003
"__missing__",820450800000,4390
"__missing__",852073200000,3757
"__missing__",883609200000,4774
"__missing__",915145200000,12593
"__missing__",946681200000,6499
"__missing__",978303600000,5741
"__missing__",1009839600000,7333
"__missing__",1041375600000,8649
"__missing__",1072911600000,11548
"__missing__",1104534000000,16650
"__missing__",1136070000000,17666
"__missing__",1167606000000,17473
"__missing__",1199142000000,26712
"__missing__",1230764400000,20814
"__missing__",1262300400000,40257
"__missing__",1293836400000,53142
"__missing__",1325372400000,58158
"__missing__",1356994800000,58768
"__missing__",1388530800000,66999
"__missing__",1420066800000,182358
"__missing__",1451602800000,138820
"__missing__",1483225200000,352974
"__missing__",1514761200000,105010
"__missing__",1546297200000,142007
"__missing__",1577833200000,68487
"__missing__",1609455600000,51521
"__missing__",1640991600000,13310
"__missing__",1672527600000,1465
"__missing__",1704063600000,2063
"__missing__",1767222000000,7
"__missing__",1798758000000,22
"__missing__",1830294000000,11
"__missing__",1861916400000,7
"__missing__",29947532400000,30
"__missing__",32724514800000,3
"__missing__",253370761200000,6
PhysicalObject,"-23225879780000",1
PhysicalObject,"-13790394980000",5
PhysicalObject,"-13033012580000",4
PhysicalObject,"-10319102180000",1
PhysicalObject,"-10287566180000",5
PhysicalObject,"-9593255780000",1
PhysicalObject,"-8993639780000",5
PhysicalObject,"-8962103780000",2
PhysicalObject,"-8804337380000",1
PhysicalObject,"-8614948580000",1
PhysicalObject,"-8204807780000",1
PhysicalObject,"-7573655780000",1
PhysicalObject,"-6942503780000",1
PhysicalObject,"-6626970980000",2
PhysicalObject,"-5837966180000",1
PhysicalObject,"-5680199780000",2
PhysicalObject,"-5459274980000",3
PhysicalObject,"-5396202980000",3
PhysicalObject,"-5364666980000",1
PhysicalObject,"-5333130980000",1
PhysicalObject,"-5080670180000",1
PhysicalObject,"-5017598180000",1
PhysicalObject,"-4986062180000",1
PhysicalObject,"-4891367780000",2
PhysicalObject,"-4859831780000",1
PhysicalObject,"-4796673380000",1
PhysicalObject,"-4133985380000",1
PhysicalObject,"-4039290980000",3
PhysicalObject,"-4007754980000",2
PhysicalObject,"-3913060580000",2
PhysicalObject,"-3881524580000",3
PhysicalObject,"-3849988580000",2
PhysicalObject,"-3818366180000",1
PhysicalObject,"-3786830180000",4
PhysicalObject,"-3755294180000",1
PhysicalObject,"-3723758180000",1
PhysicalObject,"-3629063780000",3
PhysicalObject,"-3565905380000",3
PhysicalObject,"-3534369380000",2
PhysicalObject,"-3502833380000",3
PhysicalObject,"-3471297380000",7
PhysicalObject,"-3439674980000",17
PhysicalObject,"-3408138980000",5
PhysicalObject,"-3376602980000",8
PhysicalObject,"-3345066980000",10
PhysicalObject,"-3313444580000",19
PhysicalObject,"-3281908580000",12
PhysicalObject,"-3250372580000",29
PhysicalObject,"-3218836580000",10
PhysicalObject,"-3187214180000",38
PhysicalObject,"-3155678180000",23
PhysicalObject,"-3124142180000",20
PhysicalObject,"-3092606180000",14
PhysicalObject,"-3060983780000",16
PhysicalObject,"-3029447780000",3
PhysicalObject,"-2997911780000",12
PhysicalObject,"-2966375780000",20
PhysicalObject,"-2934753380000",10
PhysicalObject,"-2903217380000",12
PhysicalObject,"-2871681380000",57
PhysicalObject,"-2840145380000",8
PhysicalObject,"-2808522980000",11
PhysicalObject,"-2776986980000",16
PhysicalObject,"-2745450980000",10
PhysicalObject,"-2713914980000",13
PhysicalObject,"-2682292580000",14
PhysicalObject,"-2650756580000",18
PhysicalObject,"-2619220580000",11
PhysicalObject,"-2587684580000",12
PhysicalObject,"-2556062180000",54
PhysicalObject,"-2524526180000",4
PhysicalObject,"-2492989200000",14
PhysicalObject,"-2461453200000",14
PhysicalObject,"-2429830800000",11
PhysicalObject,"-2398294800000",4
PhysicalObject,"-2366758800000",6
PhysicalObject,"-2335222800000",11
PhysicalObject,"-2303600400000",28
PhysicalObject,"-2272064400000",19
PhysicalObject,"-2240528400000",110
PhysicalObject,"-2208992400000",42
PhysicalObject,"-2177456400000",23
PhysicalObject,"-2145920400000",27
PhysicalObject,"-2114384400000",34
PhysicalObject,"-2082848400000",32
PhysicalObject,"-2051226000000",29
PhysicalObject,"-2019690000000",19
PhysicalObject,"-1988154000000",44
PhysicalObject,"-1956618000000",40
PhysicalObject,"-1924995600000",142
PhysicalObject,"-1893459600000",26
PhysicalObject,"-1861923600000",41
PhysicalObject,"-1830387600000",32
PhysicalObject,"-1798765200000",29
PhysicalObject,"-1767229200000",23
PhysicalObject,"-1735693200000",14
PhysicalObject,"-1704157200000",13
PhysicalObject,"-1672534800000",12
PhysicalObject,"-1640998800000",13
PhysicalObject,"-1609462800000",359
PhysicalObject,"-1577926800000",14
PhysicalObject,"-1546304400000",23
PhysicalObject,"-1514768400000",11
PhysicalObject,"-1483232400000",28
PhysicalObject,"-1451696400000",7
PhysicalObject,"-1420074000000",14
PhysicalObject,"-1388538000000",2
PhysicalObject,"-1357002000000",7
PhysicalObject,"-1325466000000",4
PhysicalObject,"-1293843600000",8
PhysicalObject,"-1262307600000",4
PhysicalObject,"-1230771600000",3
PhysicalObject,"-1199235600000",6
PhysicalObject,"-1167613200000",18
PhysicalObject,"-1136077200000",21
PhysicalObject,"-1104541200000",16
PhysicalObject,"-1073005200000",18
PhysicalObject,"-1041382800000",17
PhysicalObject,"-1009846800000",18
PhysicalObject,"-978310800000",21
PhysicalObject,"-946774800000",27
PhysicalObject,"-915152400000",29
PhysicalObject,"-883620000000",13
PhysicalObject,"-852080400000",15
PhysicalObject,"-820544400000",14
PhysicalObject,"-788922000000",13
PhysicalObject,"-757386000000",16
PhysicalObject,"-725850000000",25
PhysicalObject,"-694314000000",27
PhysicalObject,"-662691600000",26
PhysicalObject,"-631155600000",26
PhysicalObject,"-599619600000",30
PhysicalObject,"-568083600000",20
PhysicalObject,"-536461200000",28
PhysicalObject,"-504925200000",25
PhysicalObject,"-473389200000",43
PhysicalObject,"-441853200000",35
PhysicalObject,"-410230800000",34
PhysicalObject,"-378694800000",24
PhysicalObject,"-347158800000",34
PhysicalObject,"-315622800000",35
PhysicalObject,"-284000400000",41
PhysicalObject,"-252464400000",32
PhysicalObject,"-220928400000",37
PhysicalObject,"-189392400000",45
PhysicalObject,"-157770000000",60
PhysicalObject,"-126234000000",63
PhysicalObject,"-94698000000",59
PhysicalObject,"-63162000000",71
PhysicalObject,"-31539600000",54
PhysicalObject,"-3600000",85
PhysicalObject,31532400000,71
PhysicalObject,63068400000,68
PhysicalObject,94690800000,99
PhysicalObject,126226800000,82
PhysicalObject,157762800000,60
PhysicalObject,189298800000,80
PhysicalObject,220921200000,54
PhysicalObject,252457200000,76
PhysicalObject,283993200000,99
PhysicalObject,315529200000,70
PhysicalObject,347151600000,82
PhysicalObject,378687600000,41
PhysicalObject,410223600000,43
PhysicalObject,441759600000,50
PhysicalObject,473382000000,51
PhysicalObject,504918000000,73
PhysicalObject,536454000000,59
PhysicalObject,567990000000,52
PhysicalObject,599612400000,80
PhysicalObject,631148400000,92
PhysicalObject,662684400000,89
PhysicalObject,694220400000,96
PhysicalObject,725842800000,80
PhysicalObject,757378800000,86
PhysicalObject,788914800000,104
PhysicalObject,820450800000,80
PhysicalObject,852073200000,99
PhysicalObject,883609200000,85
PhysicalObject,915145200000,91
PhysicalObject,946681200000,118
PhysicalObject,978303600000,121
PhysicalObject,1009839600000,114
PhysicalObject,1041375600000,119
PhysicalObject,1072911600000,139
PhysicalObject,1104534000000,110
PhysicalObject,1136070000000,838
PhysicalObject,1167606000000,141
PhysicalObject,1199142000000,475
PhysicalObject,1230764400000,135
PhysicalObject,1262300400000,227
PhysicalObject,1293836400000,144
PhysicalObject,1325372400000,158
PhysicalObject,1356994800000,213
PhysicalObject,1388530800000,147
PhysicalObject,1420066800000,213
PhysicalObject,1451602800000,156
PhysicalObject,1483225200000,565085
PhysicalObject,1514761200000,321537
PhysicalObject,1546297200000,88556
PhysicalObject,1577833200000,247872
PhysicalObject,1609455600000,114600
PhysicalObject,1640991600000,56033
Preprint,"-3600000",2
Preprint,252457200000,2
Preprint,662684400000,62
Preprint,694220400000,703
Preprint,725842800000,1655
Preprint,757378800000,2794
Preprint,788914800000,3613
Preprint,820450800000,4487
Preprint,852073200000,5465
Preprint,883609200000,7197
Preprint,915145200000,8245
Preprint,946681200000,8916
Preprint,978303600000,8838
Preprint,1009839600000,9941
Preprint,1041375600000,11147
Preprint,1072911600000,12374
Preprint,1104534000000,13215
Preprint,1136070000000,14627
Preprint,1167606000000,17045
Preprint,1199142000000,18215
Preprint,1230764400000,20616
Preprint,1262300400000,23055
Preprint,1293836400000,27212
Preprint,1325372400000,31567
Preprint,1356994800000,37396
Preprint,1388530800000,40436
Preprint,1420066800000,47728
Preprint,1451602800000,50991
Preprint,1483225200000,59417
Preprint,1514761200000,70841
Preprint,1546297200000,84057
Preprint,1577833200000,102733
Preprint,1609455600000,117918
Preprint,1640991600000,98355
Preprint,1672527600000,1
Preprint,1798758000000,2
Other,"-30610228580000",2
Other,"-30578692580000",1
Other,"-30105393380000",1
Other,"-30010698980000",1
Other,"-27423018980000",1
Other,"-22216036580000",1
Other,"-21143121380000",2
Other,"-18302980580000",1
Other,"-17955911780000",3
Other,"-17703450980000",1
Other,"-17545684580000",1
Other,"-17356382180000",1
Other,"-17135457380000",2
Other,"-16441146980000",1
Other,"-16220308580000",1
Other,"-15809994980000",1
Other,"-15778458980000",1
Other,"-15746922980000",1
Other,"-15715386980000",2
Other,"-15683764580000",3
Other,"-15652228580000",3
Other,"-15620692580000",3
Other,"-15589156580000",2
Other,"-15557534180000",1
Other,"-15525998180000",5
Other,"-15462926180000",3
Other,"-15431303780000",7
Other,"-15399767780000",1
Other,"-15368231780000",4
Other,"-15336695780000",7
Other,"-15305073380000",10
Other,"-15273537380000",7
Other,"-15242001380000",5
Other,"-15210465380000",11
Other,"-15178842980000",3
Other,"-15147306980000",11
Other,"-15115770980000",8
Other,"-15084234980000",3
Other,"-15052612580000",10
Other,"-15021076580000",9
Other,"-14989540580000",4
Other,"-14958004580000",10
Other,"-14926382180000",11
Other,"-14894846180000",7
Other,"-14863310180000",11
Other,"-14831774180000",12
Other,"-14768702180000",1
Other,"-14737166180000",1
Other,"-14674007780000",1
Other,"-14610935780000",2
Other,"-14579399780000",1
Other,"-14516241380000",1
Other,"-14421546980000",2
Other,"-14390010980000",1
Other,"-14358474980000",2
Other,"-14295316580000",3
Other,"-14263780580000",2
Other,"-14232244580000",1
Other,"-14200708580000",1
Other,"-14169086180000",1
Other,"-13948247780000",1
Other,"-13916625380000",1
Other,"-13853553380000",1
Other,"-13822017380000",1
Other,"-13790394980000",3
Other,"-13758858980000",1
Other,"-13727322980000",5
Other,"-13695786980000",2
Other,"-13664164580000",2
Other,"-13632628580000",1
Other,"-13569556580000",3
Other,"-13506398180000",3
Other,"-13474862180000",3
Other,"-13443326180000",5
Other,"-13411703780000",2
Other,"-13380167780000",2
Other,"-13348631780000",1
Other,"-13253937380000",2
Other,"-13159242980000",1
Other,"-13096170980000",2
Other,"-13064634980000",1
Other,"-13033012580000",1
Other,"-13001476580000",1
Other,"-12969940580000",3
Other,"-12938404580000",2
Other,"-12875246180000",6
Other,"-12843710180000",4
Other,"-12812174180000",3
Other,"-12780551780000",3
Other,"-12749015780000",2
Other,"-12717479780000",3
Other,"-12685943780000",1
Other,"-12622785380000",2
Other,"-12559713380000",1
Other,"-12528090980000",2
Other,"-12465018980000",1
Other,"-12433482980000",2
Other,"-12370324580000",1
Other,"-12338788580000",1
Other,"-12307252580000",4
Other,"-12275630180000",2
Other,"-12244094180000",1
Other,"-12212558180000",1
Other,"-12181022180000",2
Other,"-12149399780000",5
Other,"-12086327780000",4
Other,"-12054791780000",4
Other,"-12023169380000",4
Other,"-11991633380000",5
Other,"-11960097380000",4
Other,"-11928561380000",4
Other,"-11896938980000",56
Other,"-11865402980000",17
Other,"-11833866980000",17
Other,"-11802330980000",28
Other,"-11770708580000",11
Other,"-11739172580000",13
Other,"-11707636580000",17
Other,"-11676100580000",11
Other,"-11644478180000",5
Other,"-11612942180000",10
Other,"-11581406180000",11
Other,"-11549870180000",10
Other,"-11518247780000",5
Other,"-11486711780000",14
Other,"-11455175780000",14
Other,"-11423639780000",23
Other,"-11392017380000",4
Other,"-11360481380000",7
Other,"-11328945380000",21
Other,"-11297409380000",17
Other,"-11265786980000",17
Other,"-11234250980000",15
Other,"-11202714980000",16
Other,"-11171178980000",23
Other,"-11139556580000",12
Other,"-11108020580000",12
Other,"-11076484580000",16
Other,"-11044948580000",13
Other,"-11013326180000",6
Other,"-10981790180000",12
Other,"-10950254180000",21
Other,"-10918718180000",9
Other,"-10887095780000",15
Other,"-10855559780000",9
Other,"-10824023780000",6
Other,"-10792487780000",22
Other,"-10760865380000",23
Other,"-10729329380000",18
Other,"-10697793380000",5
Other,"-10666257380000",2
Other,"-10634634980000",3
Other,"-10603098980000",3
Other,"-10571562980000",7
Other,"-10540026980000",17
Other,"-10508404580000",15
Other,"-10476868580000",8
Other,"-10445332580000",9
Other,"-10413796580000",12
Other,"-10382174180000",5
Other,"-10350638180000",9
Other,"-10319102180000",7
Other,"-10287566180000",10
Other,"-10255943780000",9
Other,"-10224407780000",7
Other,"-10192871780000",16
Other,"-10161335780000",19
Other,"-10129713380000",12
Other,"-10098177380000",17
Other,"-10066641380000",20
Other,"-10035105380000",18
Other,"-10003482980000",24
Other,"-9971946980000",24
Other,"-9940410980000",19
Other,"-9908874980000",13
Other,"-9877252580000",18
Other,"-9845716580000",19
Other,"-9814180580000",23
Other,"-9782644580000",23
Other,"-9751022180000",26
Other,"-9719486180000",28
Other,"-9687950180000",20
Other,"-9656414180000",17
Other,"-9624791780000",21
Other,"-9593255780000",22
Other,"-9561719780000",24
Other,"-9530183780000",32
Other,"-9498561380000",33
Other,"-9467025380000",21
Other,"-9435489380000",23
Other,"-9403953380000",22
Other,"-9372330980000",23
Other,"-9340794980000",16
Other,"-9309258980000",22
Other,"-9277722980000",23
Other,"-9246100580000",24
Other,"-9214564580000",22
Other,"-9183028580000",18
Other,"-9151492580000",18
Other,"-9119870180000",18
Other,"-9088334180000",20
Other,"-9056798180000",20
Other,"-9025262180000",16
Other,"-8993639780000",22
Other,"-8962103780000",18
Other,"-8930567780000",9
Other,"-8899031780000",15
Other,"-8867409380000",15
Other,"-8835873380000",13
Other,"-8804337380000",17
Other,"-8772801380000",18
Other,"-8741178980000",29
Other,"-8709642980000",10
Other,"-8678106980000",17
Other,"-8646570980000",14
Other,"-8614948580000",23
Other,"-8583412580000",16
Other,"-8551876580000",27
Other,"-8520340580000",28
Other,"-8488804580000",30
Other,"-8457268580000",20
Other,"-8425732580000",20
Other,"-8394196580000",23
Other,"-8362574180000",17
Other,"-8331038180000",15
Other,"-8299502180000",21
Other,"-8267966180000",18
Other,"-8236343780000",24
Other,"-8204807780000",15
Other,"-8173271780000",29
Other,"-8141735780000",35
Other,"-8110113380000",18
Other,"-8078577380000",29
Other,"-8047041380000",27
Other,"-8015505380000",17
Other,"-7983882980000",21
Other,"-7952346980000",26
Other,"-7920810980000",23
Other,"-7889274980000",17
Other,"-7857652580000",14
Other,"-7826116580000",11
Other,"-7794580580000",14
Other,"-7763044580000",17
Other,"-7731422180000",16
Other,"-7699886180000",14
Other,"-7668350180000",23
Other,"-7636814180000",10
Other,"-7605191780000",13
Other,"-7573655780000",26
Other,"-7542119780000",17
Other,"-7510583780000",9
Other,"-7478961380000",23
Other,"-7447425380000",19
Other,"-7415889380000",17
Other,"-7384353380000",21
Other,"-7352730980000",16
Other,"-7321194980000",19
Other,"-7289658980000",27
Other,"-7258122980000",15
