"citation_count","client_name_keyword",Count
380,"Crossref Citations",2
380,"__other__",2
390,"Global Biodiversity Information Facility",183
390,PANGAEA,70
390,Zenodo,16
390,"SiB Colombia - GBIF Colombia",4
390,"Vlaams Instituut voor de Zee",4
390,"__other__",1
400,"Global Biodiversity Information Facility",178
400,PANGAEA,55
400,Zenodo,14
400,"SiB Colombia - GBIF Colombia",8
400,"Vlaams Instituut voor de Zee",7
410,"Global Biodiversity Information Facility",171
410,PANGAEA,76
410,Zenodo,15
410,"Vlaams Instituut voor de Zee",5
410,"Infraestructura Mundial de Información en Biodiversidad",3
420,"Global Biodiversity Information Facility",176
420,PANGAEA,43
420,Zenodo,8
420,"SiB Colombia - GBIF Colombia",7
420,HEPData,4
430,"Global Biodiversity Information Facility",183
430,PANGAEA,29
430,Zenodo,10
430,"SiB Colombia - GBIF Colombia",6
430,"Vlaams Instituut voor de Zee",5
440,"Global Biodiversity Information Facility",156
440,PANGAEA,30
440,"SiB Colombia - GBIF Colombia",10
440,Zenodo,8
440,"Infraestructura Mundial de Información en Biodiversidad",4
450,"Global Biodiversity Information Facility",148
450,PANGAEA,28
450,"SiB Colombia - GBIF Colombia",12
450,Zenodo,7
450,"Infraestructura Mundial de Información en Biodiversidad",4
460,"Global Biodiversity Information Facility",145
460,PANGAEA,21
460,Zenodo,10
460,"SiB Colombia - GBIF Colombia",8
460,"Vlaams Instituut voor de Zee",5
470,"Global Biodiversity Information Facility",136
470,PANGAEA,18
470,"SiB Colombia - GBIF Colombia",10
470,Zenodo,8
470,"Infraestructura Mundial de Información en Biodiversidad",3
480,"Global Biodiversity Information Facility",122
480,PANGAEA,20
480,"SiB Colombia - GBIF Colombia",9
480,Zenodo,8
480,"Vlaams Instituut voor de Zee",3
480,"__other__",1
490,"Global Biodiversity Information Facility",118
490,"SiB Colombia - GBIF Colombia",11
490,PANGAEA,10
490,Zenodo,6
490,"Infraestructura Mundial de Información en Biodiversidad",2
500,"Global Biodiversity Information Facility",130
500,"SiB Colombia - GBIF Colombia",11
500,PANGAEA,10
500,"Vlaams Instituut voor de Zee",5
500,"Infraestructura Mundial de Información en Biodiversidad",3
510,"Global Biodiversity Information Facility",118
510,PANGAEA,10
510,"SiB Colombia - GBIF Colombia",8
510,Zenodo,4
510,"Infraestructura Mundial de Información en Biodiversidad",3
520,"Global Biodiversity Information Facility",112
520,"SiB Colombia - GBIF Colombia",15
520,PANGAEA,6
520,Zenodo,5
520,"Infraestructura Mundial de Información en Biodiversidad",4
520,"__other__",1
530,"Global Biodiversity Information Facility",86
530,"SiB Colombia - GBIF Colombia",9
530,PANGAEA,5
530,HEPData,2
530,Zenodo,2
540,"Global Biodiversity Information Facility",98
540,"SiB Colombia - GBIF Colombia",13
540,PANGAEA,7
540,Zenodo,3
540,"Infraestructura Mundial de Información en Biodiversidad",2
550,"Global Biodiversity Information Facility",105
550,"SiB Colombia - GBIF Colombia",17
550,Zenodo,4
550,Canadensys,1
550,"Infraestructura Mundial de Información en Biodiversidad",1
550,"__other__",1
560,"Global Biodiversity Information Facility",111
560,"SiB Colombia - GBIF Colombia",18
560,Zenodo,4
560,"Infraestructura Mundial de Información en Biodiversidad",1
560,"USGS DOI Tool Production Environment",1
570,"Global Biodiversity Information Facility",95
570,"SiB Colombia - GBIF Colombia",19
570,PANGAEA,4
570,"Infraestructura Mundial de Información en Biodiversidad",2
570,"Vlaams Instituut voor de Zee",2
570,"__other__",1
580,"Global Biodiversity Information Facility",86
580,"SiB Colombia - GBIF Colombia",10
580,Zenodo,7
580,PANGAEA,4
580,"Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries",1
590,"Global Biodiversity Information Facility",110
590,"SiB Colombia - GBIF Colombia",9
590,PANGAEA,3
590,Zenodo,3
590,"Infraestructura Mundial de Información en Biodiversidad",2
600,"Global Biodiversity Information Facility",114
600,"SiB Colombia - GBIF Colombia",9
600,PANGAEA,2
600,Zenodo,1
610,"Global Biodiversity Information Facility",93
610,"SiB Colombia - GBIF Colombia",24
610,PANGAEA,4
610,Zenodo,1
620,"Global Biodiversity Information Facility",91
620,"SiB Colombia - GBIF Colombia",9
620,PANGAEA,7
620,Zenodo,2
620,Canadensys,1
630,"Global Biodiversity Information Facility",100
630,"SiB Colombia - GBIF Colombia",13
630,PANGAEA,3
630,Zenodo,2
630,"Infraestructura Mundial de Información en Biodiversidad",1
640,"Global Biodiversity Information Facility",84
640,"SiB Colombia - GBIF Colombia",17
640,"Vlaams Instituut voor de Zee",3
640,"Infraestructura Mundial de Información en Biodiversidad",2
640,Zenodo,1
650,"Global Biodiversity Information Facility",86
650,"SiB Colombia - GBIF Colombia",20
650,PANGAEA,2
650,"Vlaams Instituut voor de Zee",1
650,Zenodo,1
660,"Global Biodiversity Information Facility",94
660,"SiB Colombia - GBIF Colombia",12
660,PANGAEA,4
660,Canadensys,1
670,"Global Biodiversity Information Facility",74
670,"SiB Colombia - GBIF Colombia",15
670,PANGAEA,2
670,Canadensys,1
670,"Infraestructura Mundial de Información en Biodiversidad",1
680,"Global Biodiversity Information Facility",68
680,"SiB Colombia - GBIF Colombia",15
680,PANGAEA,3
680,"Infraestructura Mundial de Información en Biodiversidad",2
680,"Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries",1
690,"Global Biodiversity Information Facility",81
690,"SiB Colombia - GBIF Colombia",7
690,PANGAEA,2
700,"Global Biodiversity Information Facility",58
700,"SiB Colombia - GBIF Colombia",15
700,Zenodo,3
700,HEPData,2
700,"Infraestructura Mundial de Información en Biodiversidad",1
710,"Global Biodiversity Information Facility",63
710,"SiB Colombia - GBIF Colombia",8
710,PANGAEA,4
710,Canadensys,1
710,"Project BioFresh, Leibniz-Institute of Freshwater Ecology and Inland Fisheries",1
720,"Global Biodiversity Information Facility",70
720,"SiB Colombia - GBIF Colombia",8
720,PANGAEA,3
720,Canadensys,1
730,"Global Biodiversity Information Facility",51
730,"SiB Colombia - GBIF Colombia",8
730,PANGAEA,2
730,Canadensys,1
740,"Global Biodiversity Information Facility",57
740,"SiB Colombia - GBIF Colombia",7
740,PANGAEA,2
740,Zenodo,1
750,"Global Biodiversity Information Facility",67
750,"SiB Colombia - GBIF Colombia",15
750,PANGAEA,3
750,Canadensys,1
750,Zenodo,1
760,"Global Biodiversity Information Facility",52
760,"SiB Colombia - GBIF Colombia",6
760,PANGAEA,2
770,"Global Biodiversity Information Facility",50
770,"SiB Colombia - GBIF Colombia",13
770,PANGAEA,2
780,"Global Biodiversity Information Facility",67
780,"SiB Colombia - GBIF Colombia",13
780,PANGAEA,2
780,Zenodo,1
790,"Global Biodiversity Information Facility",49
790,"SiB Colombia - GBIF Colombia",15
790,PANGAEA,6
790,"Infraestructura Mundial de Información en Biodiversidad",2
800,"Global Biodiversity Information Facility",50
800,"SiB Colombia - GBIF Colombia",11
800,Zenodo,2
800,Canadensys,1
800,"Infraestructura Mundial de Información en Biodiversidad",1
810,"Global Biodiversity Information Facility",47
810,"SiB Colombia - GBIF Colombia",7
810,"Infraestructura Mundial de Información en Biodiversidad",1
810,PANGAEA,1
820,"Global Biodiversity Information Facility",48
820,"SiB Colombia - GBIF Colombia",8
820,PANGAEA,2
820,Canadensys,1
820,"Vlaams Instituut voor de Zee",1
830,"Global Biodiversity Information Facility",42
830,"SiB Colombia - GBIF Colombia",7
830,PANGAEA,1
840,"Global Biodiversity Information Facility",50
840,PANGAEA,5
840,"SiB Colombia - GBIF Colombia",4
850,"Global Biodiversity Information Facility",50
850,"SiB Colombia - GBIF Colombia",9
850,PANGAEA,4
850,Zenodo,2
850,Canadensys,1
860,"Global Biodiversity Information Facility",46
860,"SiB Colombia - GBIF Colombia",7
860,PANGAEA,2
860,"Marine Biological Association",1
870,"Global Biodiversity Information Facility",59
870,"SiB Colombia - GBIF Colombia",6
870,PANGAEA,5
880,"Global Biodiversity Information Facility",44
880,"SiB Colombia - GBIF Colombia",4
880,PANGAEA,1
880,"University of Alberta Museums",1
890,"Global Biodiversity Information Facility",45
890,"SiB Colombia - GBIF Colombia",6
