"citation_count","client_name_keyword",Count
1,Zenodo,65130
1,DRYAD,29248
1,"Leibniz-Institut für Astrophysik Potsdam (AIP)",22555
1,"Russian Agency for Digital Standardization",19584
1,"Global Biodiversity Information Facility",4151
1,"__other__",37466
2,Zenodo,59550
2,HEPData,1995
2,"Global Biodiversity Information Facility",504
2,DRYAD,457
2,EASY,406
2,"__other__",3571
3,Zenodo,26075
3,HEPData,1005
3,"Global Biodiversity Information Facility",240
3,"Institut Français de Recherche pour l'Exploitation de la Mer",132
3,PANGAEA,63
3,"__other__",852
4,Zenodo,22882
4,HEPData,754
4,"Global Biodiversity Information Facility",180
4,"Institut Français de Recherche pour l'Exploitation de la Mer",60
4,EASY,30
4,"__other__",373
5,Zenodo,8606
5,HEPData,430
5,"Global Biodiversity Information Facility",108
5,"Institut Français de Recherche pour l'Exploitation de la Mer",40
5,"Earth Observing Laboratory",14
5,"__other__",217
6,Zenodo,11522
6,HEPData,451
6,"Global Biodiversity Information Facility",88
6,"Institut Français de Recherche pour l'Exploitation de la Mer",18
6,"RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.",11
6,"__other__",145
7,Zenodo,3595
7,HEPData,253
7,"Global Biodiversity Information Facility",58
7,CSIRO,43
7,"Institut Français de Recherche pour l'Exploitation de la Mer",24
7,"__other__",93
8,Zenodo,6084
8,HEPData,264
8,"Global Biodiversity Information Facility",69
8,"Earth Observing System Data and Information System",11
8,"Earth System Grid Federation",7
8,"__other__",93
9,Zenodo,1764
9,HEPData,185
9,"Global Biodiversity Information Facility",45
9,"Institut Français de Recherche pour l'Exploitation de la Mer",9
9,"Earth System Grid Federation",6
9,"__other__",50
10,Zenodo,3585
10,HEPData,168
10,"Global Biodiversity Information Facility",56
10,"RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.",13
10,"Institut Français de Recherche pour l'Exploitation de la Mer",4
10,"__other__",39
11,Zenodo,1002
11,HEPData,111
11,"RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.",81
11,"Global Biodiversity Information Facility",46
11,"Earth Observing System Data and Information System",6
11,"__other__",45
12,Zenodo,2127
12,HEPData,118
12,"Global Biodiversity Information Facility",49
12,PANGAEA,14
