"citation_count","client_name_keyword",Count
12,"RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.",6
12,"__other__",35
13,Zenodo,616
13,HEPData,104
13,"Global Biodiversity Information Facility",48
13,"Institut Français de Recherche pour l'Exploitation de la Mer",5
13,PANGAEA,4
13,"__other__",17
14,Zenodo,1514
14,HEPData,103
14,"Global Biodiversity Information Facility",37
14,EASY,14
14,"Institut Français de Recherche pour l'Exploitation de la Mer",4
14,"__other__",28
15,Zenodo,366
15,HEPData,69
15,"Global Biodiversity Information Facility",27
15,"Institut Français de Recherche pour l'Exploitation de la Mer",6
15,"Caltech Library",2
15,"__other__",11
16,Zenodo,909
16,HEPData,85
16,"Global Biodiversity Information Facility",28
16,"Institut Français de Recherche pour l'Exploitation de la Mer",7
16,"National Research Council Canada",3
16,"__other__",16
17,Zenodo,269
17,HEPData,45
17,"Global Biodiversity Information Facility",24
17,"Caltech Library",3
17,"SiB Colombia - GBIF Colombia",3
17,"__other__",13
18,Zenodo,643
18,HEPData,85
18,"Institut Français de Recherche pour l'Exploitation de la Mer",15
18,"Global Biodiversity Information Facility",14
18,"Caltech Library",3
18,"__other__",15
19,Zenodo,201
19,HEPData,52
19,"Global Biodiversity Information Facility",14
19,"SiB Colombia - GBIF Colombia",5
19,"Caltech Library",1
19,"__other__",7
20,Zenodo,454
20,HEPData,61
20,"Global Biodiversity Information Facility",13
20,"Alfred Wegener Institute",1
20,"Caltech Library",1
20,"__other__",9
21,Zenodo,142
21,HEPData,29
21,"Global Biodiversity Information Facility",14
21,"Caltech Library",3
21,"Institut Français de Recherche pour l'Exploitation de la Mer",3
21,"__other__",5
22,Zenodo,296
22,HEPData,64
22,"Global Biodiversity Information Facility",15
22,"California Digital Library",1
22,"Caltech Library",1
22,"__other__",6
23,Zenodo,99
23,HEPData,34
23,"Global Biodiversity Information Facility",14
23,"Alfred Wegener Institute",1
23,"SiB Colombia - GBIF Colombia",1
23,"__other__",1
24,Zenodo,222
24,HEPData,56
24,"Global Biodiversity Information Facility",14
24,"Caltech Library",1
24,"Earth Observing System Data and Information System",1
24,"__other__",5
25,Zenodo,74
25,HEPData,30
25,"Global Biodiversity Information Facility",15
25,"ETH Zürich Research Collection",2
25,PANGAEA,2
25,"__other__",4
26,Zenodo,160
26,HEPData,26
26,"Global Biodiversity Information Facility",15
26,"SiB Colombia - GBIF Colombia",4
26,"California Digital Library",1
26,"__other__",4
27,Zenodo,71
27,HEPData,14
27,"Global Biodiversity Information Facility",10
27,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",1
27,"Earth Observing System Data and Information System",1
27,"__other__",2
28,Zenodo,105
28,HEPData,27
28,"Global Biodiversity Information Facility",15
28,"SiB Colombia - GBIF Colombia",3
28,"Caltech Library",1
28,"__other__",3
29,Zenodo,57
29,HEPData,20
29,"Global Biodiversity Information Facility",14
29,"SiB Colombia - GBIF Colombia",4
29,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",2
29,"__other__",5
30,Zenodo,90
30,HEPData,24
30,"Global Biodiversity Information Facility",9
30,"Alfred Wegener Institute",1
30,"DESY - Deutsches Elektronen-Synchrotron",1
30,"__other__",4
31,Zenodo,30
31,HEPData,15
31,"Global Biodiversity Information Facility",11
31,"Institut Français de Recherche pour l'Exploitation de la Mer",2
31,"Alfred Wegener Institute",1
31,"__other__",1
32,Zenodo,70
32,HEPData,24
32,"Global Biodiversity Information Facility",16
32,"SiB Colombia - GBIF Colombia",1
32,"Vlaams Instituut voor de Zee",1
33,Zenodo,30
33,"Global Biodiversity Information Facility",19
33,HEPData,10
33,"National Research Council Canada",3
33,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",2
33,"__other__",5
34,Zenodo,62
34,"Global Biodiversity Information Facility",18
34,HEPData,14
34,DRYAD,1
34,"GFZ Data Services",1
34,"__other__",4
35,Zenodo,25
35,"Global Biodiversity Information Facility",12
35,HEPData,12
35,"Alfred Wegener Institute",1
35,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",1
35,"__other__",4
36,Zenodo,49
36,"Global Biodiversity Information Facility",15
36,HEPData,14
36,"GEOMAR-Bibliothek",2
36,"Institut Français de Recherche pour l'Exploitation de la Mer",1
36,"__other__",1
37,Zenodo,28
37,"Global Biodiversity Information Facility",14
37,HEPData,4
37,"GEOMAR-Bibliothek",1
37,"Institut Français de Recherche pour l'Exploitation de la Mer",1
37,"__other__",2
38,Zenodo,34
38,"Global Biodiversity Information Facility",10
38,HEPData,9
38,"SiB Colombia - GBIF Colombia",2
38,"Vlaams Instituut voor de Zee",1
39,Zenodo,16
39,HEPData,12
39,"Global Biodiversity Information Facility",11
39,"GEOMAR-Bibliothek",2
40,Zenodo,32
40,HEPData,16
40,"Global Biodiversity Information Facility",8
40,"Crossref Citations",1
40,"Vlaams Instituut voor de Zee",1
41,Zenodo,11
41,"Global Biodiversity Information Facility",9
41,HEPData,8
41,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",1
41,"European Centre for Medium-Range Weather Forecasts",1
42,Zenodo,21
42,"Global Biodiversity Information Facility",8
42,HEPData,6
42,"Institut Français de Recherche pour l'Exploitation de la Mer",2
42,"SiB Colombia - GBIF Colombia",2
42,"__other__",3
43,Zenodo,14
43,HEPData,12
43,"Global Biodiversity Information Facility",10
43,"SiB Colombia - GBIF Colombia",2
44,Zenodo,27
44,"Global Biodiversity Information Facility",14
44,HEPData,13
44,"Earth Observing System Data and Information System",1
44,"Institut Français de Recherche pour l'Exploitation de la Mer",1
44,"__other__",1
45,HEPData,10
45,"Global Biodiversity Information Facility",9
45,Zenodo,8
45,"Crossref Citations",1
45,"SiB Colombia - GBIF Colombia",1
46,Zenodo,24
46,HEPData,8
46,"Global Biodiversity Information Facility",5
46,EASY,1
46,"Vlaams Instituut voor de Zee",1
47,"Global Biodiversity Information Facility",11
47,Zenodo,9
47,HEPData,6
47,"DOE Lawrence Berkeley National Laboratory (LBNL) Repository",1
47,"Hakai Institute",1
47,"__other__",1
48,Zenodo,24
48,HEPData,12
48,"Global Biodiversity Information Facility",4
48,"SiB Colombia - GBIF Colombia",2
49,"Global Biodiversity Information Facility",9
49,HEPData,8
49,"SiB Colombia - GBIF Colombia",4
49,Zenodo,4
49,"Institut Français de Recherche pour l'Exploitation de la Mer",1
50,HEPData,20
50,Zenodo,19
50,"Global Biodiversity Information Facility",11
50,"Alfred Wegener Institute",1
50,"Earth Observing Laboratory",1
50,"__other__",1
51,"Global Biodiversity Information Facility",10
51,Zenodo,8
51,Canadensys,1
51,"Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics",1
51,"Vlaams Instituut voor de Zee",1
52,Zenodo,21
52,"Global Biodiversity Information Facility",10
52,HEPData,5
52,"Alfred Wegener Institute",1
52,"Earth Observing Laboratory",1
53,"Global Biodiversity Information Facility",7
53,Zenodo,6
53,"SiB Colombia - GBIF Colombia",2
54,Zenodo,15
54,"Global Biodiversity Information Facility",6
54,HEPData,6
54,"Harvard Dataverse",1
55,HEPData,6
55,Zenodo,5
55,"Global Biodiversity Information Facility",4
55,"SiB Colombia - GBIF Colombia",1
56,"Global Biodiversity Information Facility",12
56,Zenodo,11
56,HEPData,8
56,"SiB Colombia - GBIF Colombia",1
57,"Global Biodiversity Information Facility",6
57,HEPData,6
57,Zenodo,3
57,"SiB Colombia - GBIF Colombia",1
58,HEPData,8
58,Zenodo,8
58,"Global Biodiversity Information Facility",6
58,"Institut Français de Recherche pour l'Exploitation de la Mer",1
59,Zenodo,10
59,"Global Biodiversity Information Facility",8
59,HEPData,8
59,"Institut Français de Recherche pour l'Exploitation de la Mer",1
59,"SiB Colombia - GBIF Colombia",1
60,"Global Biodiversity Information Facility",6
60,HEPData,5
60,Zenodo,5
60,"SiB Colombia - GBIF Colombia",1
61,"Global Biodiversity Information Facility",9
61,Zenodo,3
61,HEPData,2
61,"SiB Colombia - GBIF Colombia",2
61,"Alfred Wegener Institute",1
62,Zenodo,7
62,"Global Biodiversity Information Facility",4
62,HEPData,2
62,"SiB Colombia - GBIF Colombia",2
63,"Global Biodiversity Information Facility",4
63,Zenodo,3
63,HEPData,2
63,"Alfred Wegener Institute",1
63,"Institut Français de Recherche pour l'Exploitation de la Mer",1
64,Zenodo,6
64,HEPData,4
64,"Global Biodiversity Information Facility",3
65,"Global Biodiversity Information Facility",4
65,HEPData,4
65,"SiB Colombia - GBIF Colombia",3
65,Zenodo,2
66,Zenodo,10
66,HEPData,4
66,"Global Biodiversity Information Facility",2
67,"Global Biodiversity Information Facility",9
67,Zenodo,3
67,"Alfred Wegener Institute",1
67,"SiB Colombia - GBIF Colombia",1
68,Zenodo,5
68,"Global Biodiversity Information Facility",4
68,HEPData,2
68,"National Institute of Standards and Technology (NIST)",1
69,"Global Biodiversity Information Facility",7
69,Zenodo,3
69,DRYAD,1
69,"Vlaams Instituut voor de Zee",1
70,Zenodo,10
70,"Global Biodiversity Information Facility",7
70,HEPData,4
70,"SiB Colombia - GBIF Colombia",1
71,"Global Biodiversity Information Facility",7
71,Zenodo,2
71,HEPData,1
71,"SiB Colombia - GBIF Colombia",1
72,"Global Biodiversity Information Facility",5
72,Zenodo,5
72,HEPData,2
73,"Global Biodiversity Information Facility",8
73,HEPData,7
73,Zenodo,2
73,"SiB Colombia - GBIF Colombia",1
74,Zenodo,10
74,"Global Biodiversity Information Facility",1
74,"National Institute of Standards and Technology (NIST)",1
75,HEPData,10
75,"Global Biodiversity Information Facility",7
76,HEPData,10
76,"Global Biodiversity Information Facility",4
76,"Infraestructura Mundial de Información en Biodiversidad",1
76,Zenodo,1
77,"Global Biodiversity Information Facility",4
77,HEPData,2
77,"SiB Colombia - GBIF Colombia",2
77,Zenodo,2
78,Zenodo,5
78,"Global Biodiversity Information Facility",3
79,"Global Biodiversity Information Facility",6
79,Zenodo,3
79,HEPData,2
79,"SiB Colombia - GBIF Colombia",2
80,HEPData,4
80,"Global Biodiversity Information Facility",2
81,HEPData,4
81,"Global Biodiversity Information Facility",3
82,"Global Biodiversity Information Facility",9
82,Zenodo,4
82,HEPData,3
82,"Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics",1
83,HEPData,14
83,"Global Biodiversity Information Facility",7
84,HEPData,13
84,"Global Biodiversity Information Facility",10
84,Zenodo,3
84,"SiB Colombia - GBIF Colombia",1
85,"Global Biodiversity Information Facility",9
85,HEPData,2
85,"Institut Français de Recherche pour l'Exploitation de la Mer",1
85,Zenodo,1
86,"Global Biodiversity Information Facility",2
86,Zenodo,2
86,"SiB Colombia - GBIF Colombia",1
87,HEPData,6
87,"Global Biodiversity Information Facility",4
87,Zenodo,2
87,"SiB Colombia - GBIF Colombia",1
87,"The Cancer Imaging Archive",1
88,"Global Biodiversity Information Facility",3
88,Zenodo,2
88,"Istituto Nazionale di Fisica Nucleare. Centro Nazionale Analisi Fotogrammi",1
89,"Global Biodiversity Information Facility",2
89,Zenodo,2
89,Canadensys,1
89,"Infraestructura Mundial de Información en Biodiversidad",1
90,"Global Biodiversity Information Facility",6
90,HEPData,4
90,Zenodo,3
91,"Global Biodiversity Information Facility",2
91,"SiB Colombia - GBIF Colombia",1
91,Zenodo,1
92,"Global Biodiversity Information Facility",6
92,Zenodo,3
92,HEPData,2
93,HEPData,4
93,"Global Biodiversity Information Facility",2
93,Zenodo,2
93,"Institut Français de Recherche pour l'Exploitation de la Mer",1
94,"Global Biodiversity Information Facility",6
94,Zenodo,2
94,"SiB Colombia - GBIF Colombia",1
95,"Global Biodiversity Information Facility",3
95,HEPData,2
95,Zenodo,1
96,"Global Biodiversity Information Facility",4
96,Zenodo,3
96,HEPData,2
97,"Global Biodiversity Information Facility",7
98,"Global Biodiversity Information Facility",4
98,HEPData,4
98,Zenodo,3
99,"Global Biodiversity Information Facility",4
